Name,Genres,Popularity,Followers,Artist_URI
Slayer,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal",64,3717516,spotify:artist:1IQ2e1buppatiN1bxUVkrk
Gojira,"alternative metal, french death metal, french metal, groove metal, metal, nu metal, progressive groove metal",61,1239549,spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt
Currents,"melodic metalcore, metalcore, progressive deathcore",58,187066,spotify:artist:5pqvAI85RMxL9K0xHvSwGu
In Flames,"alternative metal, gothenburg metal, melodic death metal, melodic metalcore, metal, swedish alternative rock, swedish death metal, swedish melodeath, swedish metal",61,1127923,spotify:artist:57ylwQTnFnIhJh4nu4rxCs
Lorna Shore,"blackened deathcore, melodic metalcore, symphonic deathcore",57,540632,spotify:artist:6vXYoy8ouRVib302zxaxFF
Slaughter to Prevail,"russian metal, russian metalcore, slamming deathcore",56,551299,spotify:artist:24Oiw7BlvO1BETecDLJt6m
Emmure,"deathcore, melodic metalcore, metalcore, nu-metalcore, rap metal",53,329282,spotify:artist:1C62FV9Cltn9L4c9jAwCyk
Amon Amarth,"groove metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, tolkien metal, viking metal",57,1072331,spotify:artist:3pulcT2wt7FEG10lQlqDJL
I See Stars,"deathstep, melodic metalcore, metalcore, neon pop punk, nintendocore, screamo, trancecore",51,451467,spotify:artist:3iCJOi5YKh247eutgCyLFe
Make Them Suffer,"australian metalcore, blackened deathcore, brutal deathcore, deathcore, melodic deathcore, melodic metalcore, metalcore, symphonic deathcore",52,233898,spotify:artist:0FZcPgWI3BsFQl4rOAGSHT
Sepultura,"alternative metal, brazilian groove metal, brazilian metal, brazilian thrash metal, death metal, deathrash, groove metal, hard rock, latin metal, metal, metal mineiro, nu metal, old school thrash, speed metal, thrash metal",57,1793125,spotify:artist:6JW8wliOEwaDZ231ZY7cf4
Cannibal Corpse,"brutal death metal, buffalo ny metal, death metal, metal",53,903085,spotify:artist:0yLwGBQiBqhXOvmTfH2A7n
Attila,"atlanta metal, deathcore, melodic metalcore, metalcore, nu-metalcore, rap metal",50,477922,spotify:artist:4Uv5bceTJ2h3tLlssUNDNP
Alpha Wolf,"australian post-hardcore, deathcore, melodic metalcore, metalcore, nu-metalcore",50,129182,spotify:artist:2tjnvrUmP46XNjFh9V0NGc
Death,"death metal, dissonant death metal, florida death metal, groove metal, hard rock, metal, speed metal, technical death metal",53,789018,spotify:artist:4f5V3PQ66nIrBCqugJtaGn
Whitechapel,"deathcore, melodic metalcore, metalcore, nu metal, tennessee metal",50,513881,spotify:artist:5274obTQJjzjyycRyJlfml
Suicide Silence,"deathcore, melodic metalcore, metalcore",51,822648,spotify:artist:6HZr7Fs2VfV1PYHIwo8Ylc
Miss May I,"melodic deathcore, melodic metalcore, metalcore",49,484022,spotify:artist:2OTuoIi28WybVbVcykc237
Thy Art Is Murder,"australian metal, australian metalcore, deathcore, melodic metalcore, metalcore",51,448053,spotify:artist:3et9upNERQI5IYt5jEDTxM
Brand of Sacrifice,"deathcore, melodic metalcore, slamming deathcore, symphonic deathcore",49,159650,spotify:artist:4d6Rawrese4OLF1zZCztod
Chelsea Grin,"deathcore, melodic metalcore, metalcore",49,479426,spotify:artist:4UgQ3EFa8fEeaIEg54uV5b
Opeth,"alternative metal, metal, progressive death metal, progressive metal, swedish metal, swedish progressive metal",54,878660,spotify:artist:0ybFZ2Ab08V8hueghSXm6E
Angelmaker,"blackened deathcore, deathcore, melodic metalcore, slamming deathcore, vancouver metal",47,150201,spotify:artist:1AdrYGYDz4oa9dvW2jfFrG
Veil Of Maya,"deathcore, djent, melodic metalcore, metalcore, technical deathcore",47,279356,spotify:artist:2i7CQcVBh2K6uOR3CH09M1
Arch Enemy,"alternative metal, death metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, symphonic metal",54,957218,spotify:artist:0DCw6lHkzh9t7f8Hb4Z0Sx
Children Of Bodom,"finnish death metal, finnish melodeath, groove metal, melodic death metal, metal, power metal, speed metal",53,679904,spotify:artist:1xUhNgw4eJDZfvumIpcz1B
After The Burial,"deathcore, djent, melodic metalcore, metalcore, minneapolis metal, progressive metalcore",46,290795,spotify:artist:0uNj4RxFjG0iVPlZS753en
